num,time,year,month,num.month
9007,1,1973,jan,1
8106,2,1973,feb,2
8928,3,1973,mar,3
9137,4,1973,apr,4
10017,5,1973,may,5
10826,6,1973,jun,6
11317,7,1973,jul,7
10744,8,1973,aug,8
9713,9,1973,sep,9
9938,10,1973,oct,10
9161,11,1973,nov,11
8927,12,1973,dec,12
7750,13,1974,jan,1
6981,14,1974,feb,2
8038,15,1974,mar,3
8422,16,1974,apr,4
8714,17,1974,may,5
9512,18,1974,jun,6
10120,19,1974,jul,7
9823,20,1974,aug,8
8743,21,1974,sep,9
9129,22,1974,oct,10
8710,23,1974,nov,11
8680,24,1974,dec,12
8162,25,1975,jan,1
7306,26,1975,feb,2
8124,27,1975,mar,3
7870,28,1975,apr,4
9387,29,1975,may,5
9556,30,1975,jun,6
10093,31,1975,jul,7
9620,32,1975,aug,8
8285,33,1975,sep,9
8433,34,1975,oct,10
8160,35,1975,nov,11
8034,36,1975,dec,12
7717,37,1976,jan,1
7461,38,1976,feb,2
7776,39,1976,mar,3
7925,40,1976,apr,4
8634,41,1976,may,5
8945,42,1976,jun,6
10078,43,1976,jul,7
9179,44,1976,aug,8
8037,45,1976,sep,9
8488,46,1976,oct,10
7874,47,1976,nov,11
8647,48,1976,dec,12
7792,49,1977,jan,1
6957,50,1977,feb,2
7726,51,1977,mar,3
8106,52,1977,apr,4
8890,53,1977,may,5
9299,54,1977,jun,6
10625,55,1977,jul,7
9302,56,1977,aug,8
8314,57,1977,sep,9
8850,58,1977,oct,10
8265,59,1977,nov,11
8796,60,1977,dec,12
7836,61,1978,jan,1
6892,62,1978,feb,2
7791,63,1978,mar,3
8129,64,1978,apr,4
9115,65,1978,may,5
9434,66,1978,jun,6
10484,67,1978,jul,7
9827,68,1978,aug,8
9110,69,1978,sep,9
9070,70,1978,oct,10
8633,71,1978,nov,11
9240,72,1978,dec,12
